 arm  n   xa     ya
  1 119  -1.267  -6.866
  1 120  -1.101  -6.936
  1 121  -0.932  -7.003
  1 122  -0.761  -7.065
  1 123  -0.587  -7.124
  1 124  -0.411  -7.179
  1 125  -0.232  -7.230
  1 126  -0.051  -7.276
  1 127   0.132  -7.318
  1 128   0.318  -7.356
  1 129   0.505  -7.389
  1 130   0.694  -7.417
  1 131   0.885  -7.441
  1 132   1.078  -7.461
  1 133   1.272  -7.475
  1 134   1.468  -7.485
  1 135   1.665  -7.490
  1 136   1.863  -7.490
  1 137   2.062  -7.485
  1 138   2.263  -7.475
  1 139   2.464  -7.460
  1 140   2.666  -7.439
  1 141   2.868  -7.414
  1 142   3.071  -7.383
  1 143   3.275  -7.347
  1 144   3.478  -7.305
  1 145   3.682  -7.259
  1 146   3.886  -7.206
  1 147   4.089  -7.149
  1 148   4.293  -7.086
  1 149   4.495  -7.017
  1 150   4.698  -6.943
  1 151   4.899  -6.863
  1 152   5.100  -6.778
  1 153   5.299  -6.688
  1 154   5.497  -6.591
  1 155   5.695  -6.490
  1 156   5.890  -6.382
  1 157   6.084  -6.270
  1 158   6.276  -6.151
  1 159   6.467  -6.027
  1 160   6.655  -5.898
  1 161   6.841  -5.763
  1 162   7.025  -5.623
  1 163   7.206  -5.477
  1 164   7.384  -5.326
  1 165   7.560  -5.170
  1 166   7.733  -5.008
  1 167   7.902  -4.841
  1 168   8.069  -4.669
  1 169   8.232  -4.492
  1 170   8.391  -4.309
  1 171   8.547  -4.122
  1 172   8.699  -3.929
  1 173   8.846  -3.732
  1 174   8.990  -3.530
  1 175   9.129  -3.323
  1 176   9.264  -3.111
  1 177   9.395  -2.895
  1 178   9.520  -2.674
  1 179   9.641  -2.449
  1 180   9.757  -2.219
  1 181   9.868  -1.986
  1 182   9.973  -1.748
  1 183  10.073  -1.506
  1 184  10.167  -1.261
  1 185  10.256  -1.011
  1 186  10.339  -0.758
  1 187  10.416  -0.502
  1 188  10.487  -0.242
  1 189  10.552   0.021
  1 190  10.610   0.288
  1 191  10.663   0.557
  1 192  10.708   0.829
  1 193  10.747   1.104
  1 194  10.780   1.381
  1 195  10.805   1.661
  1 196  10.824   1.942
  1 197  10.836   2.226
  1 198  10.840   2.512
  1 199  10.837   2.800
  1 200  10.828   3.089
  1 201  10.810   3.379
  1 202  10.786   3.671
  1 203  10.754   3.963
  1 204  10.714   4.257
  1 205  10.667   4.551
  1 206  10.612   4.845
  1 207  10.549   5.140
  1 208  10.478   5.435
  1 209  10.400   5.730
  1 210  10.314   6.024
  1 211  10.220   6.318
  1 212  10.117   6.611
  1 213  10.007   6.903
  1 214   9.889   7.194
  1 215   9.763   7.484
  1 216   9.629   7.772
  1 217   9.487   8.058
  1 218   9.336   8.343
  1 219   9.178   8.625
  1 220   9.012   8.904
  1 221   8.838   9.181
  1 222   8.656   9.456
  1 223   8.466   9.727
  1 224   8.268   9.995
  1 225   8.062  10.260
  1 226   7.848  10.521
  1 227   7.627  10.778
  1 228   7.398  11.031
  1 229   7.162  11.280
  1 230   6.918  11.524
  1 231   6.666  11.764
  1 232   6.407  11.998
  1 233   6.141  12.228
  1 234   5.867  12.451
  1 235   5.586  12.669
  1 236   5.298  12.881
  1 237   5.002  13.087
  1 238   4.700  13.285
  1 239   4.391  13.477
  1 240   4.075  13.662
  2   1  -0.002  -3.480
  2   2   0.086  -3.502
  2   3   0.175  -3.522
  2   4   0.265  -3.540
  2   5   0.356  -3.557
  2   6   0.448  -3.571
  2   7   0.541  -3.584
  2   8   0.636  -3.596
  2   9   0.731  -3.606
  2  10   0.828  -3.615
  2  11   0.926  -3.622
  2  12   1.025  -3.629
  2  13   1.126  -3.634
  2  14   1.228  -3.639
  2  15   1.332  -3.643
  2  16   1.437  -3.645
  2  17   1.544  -3.646
  2  18   1.653  -3.645
  2  19   1.763  -3.641
  2  20   1.874  -3.636
  2  21   1.986  -3.627
  2  22   2.100  -3.616
  2  23   2.214  -3.602
  2  24   2.329  -3.584
  2  25   2.444  -3.563
  2  26   2.560  -3.538
  2  27   2.676  -3.509
  2  28   2.791  -3.476
  2  29   2.906  -3.440
  2  30   3.021  -3.399
  2  31   3.136  -3.354
  2  32   3.249  -3.306
  2  33   3.362  -3.253
  2  34   3.475  -3.197
  2  35   3.586  -3.137
  2  36   3.696  -3.073
  2  37   3.805  -3.006
  2  38   3.913  -2.935
  2  39   4.019  -2.860
  2  40   4.124  -2.781
  2  41   4.227  -2.699
  2  42   4.329  -2.614
  2  43   4.428  -2.524
  2  44   4.526  -2.432
  2  45   4.621  -2.336
  2  46   4.714  -2.236
  2  47   4.804  -2.133
  2  48   4.892  -2.027
  2  49   4.977  -1.917
  2  50   5.059  -1.804
  2  51   5.138  -1.689
  2  52   5.214  -1.570
  2  53   5.286  -1.448
  2  54   5.356  -1.324
  2  55   5.421  -1.197
  2  56   5.483  -1.067
  2  57   5.541  -0.934
  2  58   5.595  -0.800
  2  59   5.645  -0.663
  2  60   5.691  -0.524
  2  61   5.732  -0.383
  2  62   5.770  -0.241
  2  63   5.802  -0.096
  2  64   5.830   0.049
  2  65   5.854   0.196
  2  66   5.872   0.345
  2  67   5.886   0.494
  2  68   5.896   0.644
  2  69   5.901   0.795
  2  70   5.902   0.946
  2  71   5.898   1.098
  2  72   5.890   1.250
  2  73   5.878   1.402
  2  74   5.862   1.555
  2  75   5.842   1.707
  2  76   5.818   1.860
  2  77   5.790   2.012
  2  78   5.758   2.164
  2  79   5.721   2.316
  2  80   5.681   2.467
  2  81   5.635   2.617
  2  82   5.584   2.765
  2  83   5.527   2.912
  2  84   5.465   3.057
  2  85   5.397   3.199
  2  86   5.323   3.338
  2  87   5.243   3.474
  2  88   5.157   3.606
  2  89   5.064   3.734
  2  90   4.965   3.857
  2  91   4.860   3.975
  2  92   4.751   4.088
  2  93   4.637   4.197
  2  94   4.519   4.301
  2  95   4.398   4.401
  2  96   4.274   4.498
  2  97   4.149   4.591
  2  98   4.022   4.682
  2  99   3.894   4.770
  2 100   3.765   4.856
  2 101   3.636   4.940
  2 102   3.507   5.024
  2 103   3.379   5.108
  2 104   3.250   5.192
  2 105   3.120   5.275
  2 106   2.991   5.358
  2 107   2.861   5.441
  2 108   2.729   5.523
  2 109   2.597   5.606
  2 110   2.464   5.688
  2 111   2.329   5.769
  2 112   2.193   5.850
  2 113   2.055   5.931
  2 114   1.916   6.011
  2 115   1.774   6.091
  2 116   1.630   6.169
  2 117   1.484   6.247
  2 118   1.336   6.325
  2 119   1.186   6.402
  2 120   1.033   6.478
  2 121   0.877   6.555
  2 122   0.718   6.630
  2 123   0.557   6.706
  2 124   0.392   6.781
  2 125   0.224   6.856
  2 126   0.053   6.931
  2 127  -0.122   7.005
  2 128  -0.301   7.079
  2 129  -0.484   7.152
  2 130  -0.671   7.223
  2 131  -0.863   7.291
  2 132  -1.058   7.355
  2 133  -1.257   7.415
  2 134  -1.460   7.470
  2 135  -1.666   7.519
  2 136  -1.876   7.561
  2 137  -2.088   7.595
  2 138  -2.302   7.622
  2 139  -2.518   7.639
  2 140  -2.735   7.647
  2 141  -2.953   7.646
  2 142  -3.170   7.634
  2 143  -3.388   7.613
  2 144  -3.605   7.583
  2 145  -3.820   7.543
  2 146  -4.035   7.494
  2 147  -4.247   7.435
  2 148  -4.457   7.368
  2 149  -4.665   7.292
  2 150  -4.870   7.207
  2 151  -5.072   7.114
  2 152  -5.270   7.013
  2 153  -5.464   6.904
  2 154  -5.654   6.788
  2 155  -5.841   6.665
  2 156  -6.024   6.536
  2 157  -6.204   6.401
  2 158  -6.380   6.261
  2 159  -6.554   6.116
  2 160  -6.725   5.967
  2 161  -6.893   5.815
  2 162  -7.060   5.659
  2 163  -7.225   5.499
  2 164  -7.390   5.337
  2 165  -7.553   5.172
  2 166  -7.717   5.005
  2 167  -7.880   4.834
  2 168  -8.042   4.660
  2 169  -8.203   4.483
  2 170  -8.362   4.301
  2 171  -8.519   4.115
  2 172  -8.674   3.924
  2 173  -8.825   3.729
  2 174  -8.973   3.529
  2 175  -9.117   3.325
  2 176  -9.257   3.115
  2 177  -9.392   2.900
  2 178  -9.521   2.680
  2 179  -9.644   2.456
  2 180  -9.762   2.227
  2 181  -9.874   1.993
  2 182  -9.980   1.756
  2 183 -10.080   1.514
  2 184 -10.174   1.268
  2 185 -10.262   1.018
  2 186 -10.343   0.765
  2 187 -10.419   0.508
  2 188 -10.489   0.248
  2 189 -10.553  -0.015
  2 190 -10.610  -0.281
  2 191 -10.662  -0.550
  2 192 -10.707  -0.822
  2 193 -10.746  -1.097
  2 194 -10.778  -1.374
  2 195 -10.804  -1.653
  2 196 -10.823  -1.935
  2 197 -10.835  -2.219
  2 198 -10.840  -2.505
  2 199 -10.838  -2.792
  2 200 -10.829  -3.082
  2 201 -10.812  -3.372
  2 202 -10.788  -3.664
  2 203 -10.756  -3.956
  2 204 -10.717  -4.250
  2 205 -10.670  -4.544
  2 206 -10.615  -4.839
  2 207 -10.552  -5.134
  2 208 -10.482  -5.429
  2 209 -10.404  -5.723
  2 210 -10.318  -6.018
  2 211 -10.224  -6.312
  2 212 -10.122  -6.605
  2 213 -10.012  -6.897
  2 214  -9.894  -7.188
  2 215  -9.768  -7.478
  2 216  -9.634  -7.766
  2 217  -9.491  -8.052
  2 218  -9.341  -8.337
  2 219  -9.183  -8.619
  2 220  -9.017  -8.899
  2 221  -8.843  -9.176
  2 222  -8.661  -9.450
  2 223  -8.471  -9.722
  2 224  -8.274  -9.990
  2 225  -8.068 -10.255
  2 226  -7.855 -10.516
  2 227  -7.634 -10.773
  2 228  -7.405 -11.026
  2 229  -7.169 -11.275
  2 230  -6.925 -11.520
  2 231  -6.674 -11.760
  2 232  -6.415 -11.994
  2 233  -6.148 -12.224
  2 234  -5.875 -12.448
  2 235  -5.594 -12.666
  2 236  -5.306 -12.878
  2 237  -5.010 -13.083
  2 238  -4.708 -13.282
  2 239  -4.399 -13.475
  2 240  -4.084 -13.660
  3   1  -2.833  -3.998
  3   2  -2.772  -4.063
  3   3  -2.709  -4.127
  3   4  -2.645  -4.189
  3   5  -2.579  -4.251
  3   6  -2.512  -4.313
  3   7  -2.444  -4.372
  3   8  -2.375  -4.431
  3   9  -2.304  -4.489
  3  10  -2.231  -4.546
  3  11  -2.158  -4.602
  3  12  -2.083  -4.656
  3  13  -2.007  -4.710
  3  14  -1.930  -4.762
  3  15  -1.852  -4.813
  3  16  -1.772  -4.863
  3  17  -1.691  -4.911
  3  18  -1.609  -4.958
  3  19  -1.526  -5.004
  3  20  -1.442  -5.049
  3  21  -1.357  -5.092
  3  22  -1.271  -5.134
  3  23  -1.183  -5.175
  3  24  -1.095  -5.214
  3  25  -1.005  -5.252
  3  26  -0.915  -5.288
  3  27  -0.824  -5.323
  3  28  -0.731  -5.356
  3  29  -0.638  -5.388
  3  30  -0.544  -5.418
  3  31  -0.449  -5.447
  3  32  -0.353  -5.474
  3  33  -0.257  -5.500
  3  34  -0.159  -5.523
  3  35  -0.061  -5.546
  3  36   0.038  -5.566
  3  37   0.137  -5.585
  3  38   0.237  -5.602
  3  39   0.338  -5.617
  3  40   0.440  -5.631
  3  41   0.542  -5.643
  3  42   0.645  -5.653
  3  43   0.748  -5.661
  3  44   0.852  -5.667
  3  45   0.956  -5.672
  3  46   1.061  -5.674
  3  47   1.166  -5.675
  3  48   1.272  -5.674
  3  49   1.377  -5.671
  3  50   1.484  -5.666
  3  51   1.590  -5.660
  3  52   1.697  -5.651
  3  53   1.804  -5.640
  3  54   1.911  -5.628
  3  55   2.018  -5.613
  3  56   2.125  -5.597
  3  57   2.233  -5.578
  3  58   2.340  -5.558
  3  59   2.448  -5.535
  3  60   2.555  -5.511
  3  61   2.663  -5.485
  3  62   2.770  -5.456
  3  63   2.877  -5.426
  3  64   2.984  -5.393
  3  65   3.091  -5.359
  3  66   3.198  -5.322
  3  67   3.304  -5.283
  3  68   3.410  -5.243
  3  69   3.516  -5.200
  3  70   3.621  -5.156
  3  71   3.726  -5.109
  3  72   3.830  -5.060
  3  73   3.934  -5.009
  3  74   4.037  -4.956
  3  75   4.140  -4.902
  3  76   4.242  -4.845
  3  77   4.343  -4.786
  3  78   4.444  -4.725
  3  79   4.544  -4.662
  3  80   4.643  -4.597
  3  81   4.741  -4.530
  3  82   4.839  -4.461
  3  83   4.935  -4.390
  3  84   5.031  -4.317
  3  85   5.126  -4.242
  3  86   5.219  -4.166
  3  87   5.312  -4.087
  3  88   5.404  -4.006
  3  89   5.494  -3.924
  3  90   5.583  -3.839
  3  91   5.672  -3.753
  3  92   5.758  -3.664
  3  93   5.844  -3.574
  3  94   5.928  -3.482
  3  95   6.011  -3.388
  3  96   6.093  -3.293
  3  97   6.173  -3.195
  3  98   6.252  -3.096
  3  99   6.329  -2.995
  3 100   6.404  -2.893
  3 101   6.478  -2.788
  3 102   6.551  -2.682
  3 103   6.622  -2.574
  3 104   6.691  -2.465
  3 105   6.758  -2.354
  3 106   6.824  -2.242
  3 107   6.888  -2.127
  3 108   6.950  -2.012
  3 109   7.010  -1.895
  3 110   7.068  -1.776
  3 111   7.125  -1.656
  3 112   7.179  -1.534
  3 113   7.232  -1.411
  3 114   7.282  -1.287
  3 115   7.330  -1.161
  3 116   7.377  -1.034
  3 117   7.421  -0.906
  3 118   7.463  -0.777
  3 119   7.503  -0.646
  3 120   7.541  -0.514
  3 121   7.576  -0.381
  3 122   7.609  -0.247
  3 123   7.640  -0.112
  3 124   7.669   0.024
  3 125   7.695   0.162
  3 126   7.719   0.300
  3 127   7.741   0.439
  3 128   7.760   0.579
  3 129   7.777   0.719
  3 130   7.791   0.861
  3 131   7.803   1.003
  3 132   7.812   1.146
  3 133   7.819   1.290
  3 134   7.823   1.434
  3 135   7.825   1.579
  3 136   7.824   1.724
  3 137   7.821   1.870
  3 138   7.814   2.016
  3 139   7.806   2.163
  3 140   7.794   2.310
  3 141   7.780   2.457
  3 142   7.763   2.605
  3 143   7.744   2.753
  3 144   7.722   2.901
  3 145   7.697   3.049
  3 146   7.669   3.197
  3 147   7.639   3.346
  3 148   7.606   3.494
  3 149   7.570   3.642
  3 150   7.531   3.790
  3 151   7.490   3.938
  3 152   7.445   4.085
  3 153   7.398   4.233
  3 154   7.348   4.380
  3 155   7.296   4.526
  3 156   7.240   4.672
  3 157   7.182   4.818
  3 158   7.121   4.963
  3 159   7.057   5.108
  3 160   6.991   5.252
  3 161   6.921   5.395
  3 162   6.849   5.538
  3 163   6.774   5.679
  3 164   6.696   5.820
  3 165   6.615   5.960
  3 166   6.532   6.099
  3 167   6.445   6.237
  3 168   6.356   6.374
  3 169   6.265   6.510
  3 170   6.170   6.645
  3 171   6.073   6.778
  3 172   5.973   6.911
  3 173   5.870   7.041
  3 174   5.765   7.171
  3 175   5.657   7.299
  3 176   5.546   7.426
  3 177   5.433   7.551
  3 178   5.317   7.674
  3 179   5.198   7.796
  3 180   5.077   7.916
  3 181   4.953   8.034
  3 182   4.827   8.151
  3 183   4.698   8.266
  3 184   4.567   8.379
  3 185   4.433   8.489
  3 186   4.297   8.598
  3 187   4.158   8.705
  3 188   4.017   8.810
  3 189   3.873   8.912
  3 190   3.728   9.013
  3 191   3.580   9.111
  3 192   3.429   9.206
  3 193   3.277   9.300
  3 194   3.122   9.391
  3 195   2.965   9.479
  3 196   2.806   9.566
  3 197   2.645   9.649
  3 198   2.481   9.730
  3 199   2.316   9.808
  3 200   2.149   9.884
  3 201   1.980   9.957
  3 202   1.809  10.027
  3 203   1.636  10.094
  3 204   1.461  10.159
  3 205   1.285  10.220
  3 206   1.106  10.279
  3 207   0.927  10.335
  3 208   0.745  10.387
  3 209   0.562  10.437
  3 210   0.377  10.483
  3 211   0.191  10.527
  3 212   0.004  10.567
  3 213  -0.185  10.604
  3 214  -0.375  10.637
  3 215  -0.567  10.668
  3 216  -0.759  10.695
  3 217  -0.953  10.719
  3 218  -1.148  10.739
  3 219  -1.344  10.756
  3 220  -1.541  10.769
  3 221  -1.739  10.779
  3 222  -1.937  10.786
  3 223  -2.137  10.789
  3 224  -2.337  10.788
  3 225  -2.538  10.784
  3 226  -2.740  10.777
  3 227  -2.942  10.765
  3 228  -3.145  10.750
  3 229  -3.348  10.732
  3 230  -3.551  10.709
  3 231  -3.755  10.683
  3 232  -3.959  10.653
  3 233  -4.163  10.620
  3 234  -4.368  10.582
  3 235  -4.572  10.541
  3 236  -4.777  10.496
  3 237  -4.981  10.447
  3 238  -5.185  10.395
  3 239  -5.389  10.338
  3 240  -5.592  10.278
  3 241  -5.796  10.214
  3 242  -5.998  10.146
  3 243  -6.201  10.074
  3 244  -6.402   9.999
  3 245  -6.603   9.919
  3 246  -6.804   9.836
  3 247  -7.003   9.748
  3 248  -7.202   9.657
  3 249  -7.400   9.562
  3 250  -7.596   9.463
  3 251  -7.792   9.361
  3 252  -7.987   9.254
  3 253  -8.180   9.144
  3 254  -8.372   9.029
  3 255  -8.562   8.911
  3 256  -8.752   8.789
  3 257  -8.939   8.663
  3 258  -9.125   8.534
  3 259  -9.310   8.401
  3 260  -9.492   8.263
  3 261  -9.673   8.123
  3 262  -9.852   7.978
  3 263 -10.029   7.830
  3 264 -10.204   7.678
  3 265 -10.377   7.522
  3 266 -10.547   7.363
  3 267 -10.716   7.200
  3 268 -10.882   7.034
  3 269 -11.046   6.864
  3 270 -11.207   6.690
  3 271 -11.366   6.513
  3 272 -11.522   6.333
  3 273 -11.675   6.149
  3 274 -11.826   5.962
  3 275 -11.973   5.771
  3 276 -12.118   5.578
  3 277 -12.260   5.380
  3 278 -12.399   5.180
  3 279 -12.535   4.976
  3 280 -12.668   4.770
  3 281 -12.797   4.560
  3 282 -12.924   4.347
  3 283 -13.046   4.131
  3 284 -13.166   3.913
  3 285 -13.282   3.691
  3 286 -13.394   3.466
  3 287 -13.503   3.239
  3 288 -13.608   3.009
  3 289 -13.709   2.776
  3 290 -13.806   2.541
  3 291 -13.900   2.303
  3 292 -13.990   2.063
  3 293 -14.076   1.820
  3 294 -14.157   1.575
  3 295 -14.235   1.327
  3 296 -14.308   1.077
  3 297 -14.377   0.825
  3 298 -14.442   0.571
  3 299 -14.503   0.315
  3 300 -14.559   0.057
  3 301 -14.611  -0.203
  3 302 -14.658  -0.465
  3 303 -14.701  -0.728
  3 304 -14.739  -0.994
  3 305 -14.773  -1.261
  3 306 -14.801  -1.529
  3 307 -14.826  -1.799
  3 308 -14.845  -2.070
  3 309 -14.860  -2.343
  3 310 -14.870  -2.617
  3 311 -14.875  -2.891
  3 312 -14.875  -3.167
  3 313 -14.870  -3.444
  3 314 -14.861  -3.722
  3 315 -14.846  -4.001
  3 316 -14.826  -4.280
  3 317 -14.802  -4.560
  3 318 -14.772  -4.841
  3 319 -14.737  -5.122
  3 320 -14.697  -5.403
  3 321 -14.652  -5.685
  3 322 -14.602  -5.966
  3 323 -14.547  -6.248
  3 324 -14.486  -6.530
  3 325 -14.421  -6.812
  3 326 -14.349  -7.094
  3 327 -14.273  -7.375
  3 328 -14.191  -7.656
  3 329 -14.104  -7.937
  3 330 -14.012  -8.217
  3 331 -13.914  -8.496
  3 332 -13.810  -8.774
  3 333 -13.702  -9.052
  3 334 -13.587  -9.328
  3 335 -13.468  -9.603
  3 336 -13.343  -9.877
  3 337 -13.212 -10.149
  4   1   3.348  -1.711
  4   2   3.404  -1.641
  4   3   3.458  -1.569
  4   4   3.511  -1.496
  4   5   3.562  -1.421
  4   6   3.611  -1.344
  4   7   3.659  -1.266
  4   8   3.705  -1.186
  4   9   3.749  -1.105
  4  10   3.791  -1.023
  4  11   3.832  -0.939
  4  12   3.870  -0.854
  4  13   3.907  -0.767
  4  14   3.942  -0.679
  4  15   3.974  -0.590
  4  16   4.005  -0.500
  4  17   4.033  -0.409
  4  18   4.060  -0.317
  4  19   4.084  -0.223
  4  20   4.107  -0.129
  4  21   4.128  -0.034
  4  22   4.147   0.062
  4  23   4.164   0.159
  4  24   4.179   0.257
  4  25   4.192   0.356
  4  26   4.204   0.455
  4  27   4.214   0.556
  4  28   4.223   0.657
  4  29   4.230   0.759
  4  30   4.234   0.861
  4  31   4.237   0.965
  4  32   4.238   1.069
  4  33   4.236   1.174
  4  34   4.230   1.279
  4  35   4.222   1.384
  4  36   4.210   1.489
  4  37   4.195   1.594
  4  38   4.175   1.699
  4  39   4.152   1.803
  4  40   4.124   1.905
  4  41   4.092   2.007
  4  42   4.055   2.107
  4  43   4.014   2.205
  4  44   3.968   2.302
  4  45   3.918   2.396
  4  46   3.865   2.488
  4  47   3.808   2.579
  4  48   3.748   2.667
  4  49   3.685   2.753
  4  50   3.620   2.838
  4  51   3.552   2.920
  4  52   3.483   3.001
  4  53   3.411   3.081
  4  54   3.339   3.159
  4  55   3.264   3.235
  4  56   3.189   3.311
  4  57   3.113   3.385
  4  58   3.035   3.459
  4  59   2.957   3.531
  4  60   2.877   3.603
  4  61   2.796   3.673
  4  62   2.714   3.742
  4  63   2.630   3.810
  4  64   2.546   3.877
  4  65   2.460   3.943
  4  66   2.373   4.007
  4  67   2.284   4.070
  4  68   2.194   4.132
  4  69   2.103   4.192
  4  70   2.011   4.251
  4  71   1.917   4.309
  4  72   1.821   4.365
  4  73   1.725   4.420
  4  74   1.627   4.473
  4  75   1.528   4.525
  4  76   1.428   4.575
  4  77   1.326   4.624
  4  78   1.223   4.672
  4  79   1.119   4.719
  4  80   1.014   4.764
  4  81   0.907   4.808
  4  82   0.799   4.850
  4  83   0.689   4.891
  4  84   0.579   4.931
  4  85   0.467   4.970
  4  86   0.353   5.007
  4  87   0.238   5.042
  4  88   0.122   5.076
  4  89   0.004   5.109
  4  90  -0.115   5.140
  4  91  -0.236   5.169
  4  92  -0.358   5.197
  4  93  -0.482   5.222
  4  94  -0.607   5.246
  4  95  -0.734   5.268
  4  96  -0.863   5.288
  4  97  -0.992   5.306
  4  98  -1.124   5.321
  4  99  -1.257   5.335
  4 100  -1.391   5.346
  4 101  -1.527   5.355
  4 102  -1.664   5.361
  4 103  -1.803   5.365
  4 104  -1.943   5.366
  4 105  -2.084   5.365
  4 106  -2.227   5.361
  4 107  -2.372   5.354
  4 108  -2.517   5.344
  4 109  -2.664   5.332
  4 110  -2.812   5.316
  4 111  -2.962   5.297
  4 112  -3.112   5.274
  4 113  -3.263   5.248
  4 114  -3.415   5.218
  4 115  -3.566   5.183
  4 116  -3.718   5.144
  4 117  -3.870   5.101
  4 118  -4.021   5.052
  4 119  -4.171   4.998
  4 120  -4.320   4.938
  4 121  -4.467   4.873
  4 122  -4.612   4.803
  4 123  -4.754   4.726
  4 124  -4.894   4.644
  4 125  -5.030   4.557
  4 126  -5.163   4.464
  4 127  -5.293   4.365
  4 128  -5.420   4.263
  4 129  -5.544   4.155
  4 130  -5.665   4.044
  4 131  -5.782   3.929
  4 132  -5.897   3.810
  4 133  -6.009   3.688
  4 134  -6.119   3.562
  4 135  -6.226   3.433
  4 136  -6.330   3.302
  4 137  -6.433   3.167
  4 138  -6.533   3.031
  4 139  -6.631   2.891
  4 140  -6.727   2.749
  4 141  -6.821   2.604
  4 142  -6.912   2.457
  4 143  -7.000   2.307
  4 144  -7.086   2.154
  4 145  -7.169   1.998
  4 146  -7.248   1.840
  4 147  -7.325   1.680
  4 148  -7.398   1.517
  4 149  -7.467   1.351
  4 150  -7.533   1.184
  4 151  -7.596   1.013
  4 152  -7.654   0.841
  4 153  -7.708   0.666
  4 154  -7.759   0.489
  4 155  -7.805   0.311
  4 156  -7.847   0.130
  4 157  -7.886  -0.052
  4 158  -7.920  -0.236
  4 159  -7.949  -0.422
  4 160  -7.975  -0.609
  4 161  -7.996  -0.798
  4 162  -8.013  -0.988
  4 163  -8.026  -1.179
  4 164  -8.034  -1.372
  4 165  -8.038  -1.565
  4 166  -8.037  -1.760
  4 167  -8.032  -1.955
  4 168  -8.023  -2.151
  4 169  -8.009  -2.348
  4 170  -7.990  -2.545
  4 171  -7.966  -2.743
  4 172  -7.938  -2.941
  4 173  -7.905  -3.139
  4 174  -7.868  -3.337
  4 175  -7.825  -3.536
  4 176  -7.778  -3.734
  4 177  -7.726  -3.932
  4 178  -7.669  -4.130
  4 179  -7.607  -4.328
  4 180  -7.540  -4.524
  4 181  -7.469  -4.720
  4 182  -7.392  -4.916
  4 183  -7.311  -5.110
  4 184  -7.224  -5.304
  4 185  -7.133  -5.496
